"Edit Shipping Address","Editer l'adresse de livraison"
"Is Packing Stations Terms Validation Enabled","La validation des termes pour les lieux de conditionnement est-elle activée"
"Packing Stations Terms","Termes pour les lieux de conditionnement"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Liste séparée par des virgules de termes ne tenant pas compte des majuscules et des minuscules, qui sera utilisée pour vérifier si l'adresse d'un client est un casier ou un lieu de conditionnement."
"Excluded Categories","Catégories exclues"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","Le bouton Amazon Pay ne sera pas disponible pour les produits des catégories sélectionnées."
"Developer Options","Options pour le développeur"
"Logging","Journalisation"
"Allowed IPs","IP autorisées"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Séparée par des virgules. Les boutons Connectez-vous avec Amazon et Amazon Pay seront intégrés <em>uniquement</em> pour les clients aux IP ci-dessus.
                            Si le champ est vide, les boutons seront visibles par tous les clients."
"Module version","Version du Module"
"--","--"
"Amazon Pay button in minicart","Bouton Amazon Pay dans le mini-panier"
"An unsupported currency is currently selected. Please review our configuration guide.","Une devise non prise en charge est actuellement sélectionnée. Consultez notre guide de configuration."
"You will be registering for a %1 account based on the display currency of your scope (%2).","Vous procéderez à l'enregistrement d'un compte %1 selon la devise de base de votre boutique (%2)."
"Initiate account registration/configuration","Commencer l'enregistrement"
"My account is ready, I need to connect it to Magento","Mon compte est prêt, j'ai besoin de le connecter à Magento"
"or","ou"
"I've already setup Pay with Amazon, I want to edit my settings","J'ai déjà configuré le service Amazon Pay, je souhaite modifier mes paramètres"
"Back to register or connect an account","Retour"
"Updating your config with new keys, please wait...","Mise à jour de votre configuration avec les nouvelles clés, veuillez patienter..."
"In order to enable automatic account configuration using Amazon's secure key exchange, please turn on secure admin pages in General > Web > Use secure URLs in Admin.","Pour activer la configuration automatique du compte à l'aide de l'échange de clé sécurisé d'Amazon, activez les pages d'administration sécurisées dans Général > Web > Utiliser des URL sécurisées dans Administration."
"Paste JSON credentials here","Collez les informations d'identification JSON ici"
"Save Credentials","Enregistrer les informations d'identification"
"Valid JSON credentials are required.","Des informations d'identification JSON valides sont requises."
"Action is not available","Action non disponible"
"Error processing Amazon Login","Erreur lors du traitement de l'identifiant Amazon"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Un compte pour cette boutique existe déjà avec cette adresse e-mail. Saisissez le mot de passe du compte de cette boutique afin de vous connecter sans quitter la boutique."
"Login with Amazon","Connectez-vous avec Amazon"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Amazon Pay et Identifiez-vous avec Amazon vous permet d'utiliser les informations de paiement et d'expédition stockées dans votre compte Amazon pour passer une commande sur ce site Web."
"Securely login into our website using your existing Amazon details.","Connectez-vous en toute sécurité à notre site Web à l'aide de vos identifiants Amazon existants."
"Welcome back!","Bienvenue !"
"Continue as Guest","Continuer en tant qu'invité"
"the email address for your Amazon account is invalid","L'adresse e-mail de votre compte Amazon n'est pas valide."
"* Required Fields","* Champs requis"
"Password","Mot de passe"
"Ok","OK"
"Forgot Your Password?","Vous avez oublié votre mot de passe ?"
"Login with Amazon available in authentication popup","Connectez-vous avec Amazon disponible dans la fenêtre pop-up d'authentification"
"You will be redirected shortly...","Vous allez être automatiquement redirigé..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Si vous n’êtes pas automatiquement redirigé, veuillez rafraîchir la page ou veuillez retourner à votre panier et sélectionner une autre méthode de paiement."
"Amazon authorize invalid state : %1 with reason %2","État imprévu pour l'autorisation d'Amazon Pay. État : %1 ; code du motif : %2"
"Amazon capture declined : %1","Amazon Pay a rejeté la saisie. Code du motif : %1"
"Amazon capture invalid state : %1 with reason %2","État imprévu pour la saisie d'Amazon Pay. État : %1 ; code du motif : %2"
"Amazon refund invalid state : %1 with reason %2","État imprévu pour le remboursement d'Amazon Pay. État : %1 ; code du motif : %2"
"the country for your address is not allowed for this store","Le pays associé à votre adresse n'est pas autorisé pour ce site."
"Unfortunately it is not possible to use Amazon Pay for this order, please choose another payment method.","Nous sommes désolés, mais vous ne pouvez pas utiliser Amazon Pay pour cette commande. Sélectionnez un autre mode paiement."
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","Nous sommes désolés, mais un problème s'est produit avec le mode de paiement sélectionné sur votre compte Amazon. Sélectionnez un autre mode paiement."
"The currency selected is not supported by Amazon Pay","La devise sélectionnée n'est pas prise en charge par Amazon Pay sur ce site."
"Captured amount of %1 online","Montant de %1 saisi en ligne."
"Declined amount of %1 online","La saisie en ligne du montant de %1 a été rejetée."
"Capture declined","Saisie rejetée"
"Capture declined for Order <a href=""%2"">#%1</a>","Saisie rejetée pour la commande <a href=""%2"">#%1</a>"
"Capture pending approval from the payment gateway","Saisie en attente d'approbation du portail de paiement. Veuillez réessayer ultérieurement."
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","Impossible de trouver la configuration « multiline_count » de l'attribut « rue » de l'adresse du client."
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Vous êtes client Amazon ? Payez désormais avec les informations de paiement et les coordonnées stockées dans votre compte Amazon."
"Simulate Payment Scenarios","Simuler des scénarios de paiement"
"Amazon could not process your request.","Amazon Pay n'a pas pu traiter votre demande. Veuillez réessayer."
"Please select a payment method.","Sélectionnez un mode de paiement."
"Your session has expired, please reload the page and try again.","Votre session a expiré. Actualisez la page et réessayez."
"Return to standard checkout","Revenir à la commande standard"
"Amazon Pay was unable to authenticate the payment instrument.  Please try again, or use a different payment method.","Un problème s’est produit avec votre paiement. Votre commande n'a pas été passée et vous n'avez pas été débité."
"The SCA challenge was not completed successfully.  Please try again, or use a different payment method.","Un problème est survenu avec votre moyen de paiement. Pour passer votre commande, essayez un autre moyen de paiement."
"Your transaction with Amazon Pay is currently being validated. Please be aware that we will inform you shortly as needed.","Votre transaction avec Amazon Pay est en cours de validation. Vous serez informe prochainement de son suivi."
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","Pour réinitialiser votre mot de passe, veuillez-vous <a href=""%1"">Déconnexion</a> et cliquer sur “Mot de passe oublié?” depuis la page de connexion"
"The selected payment method is not available for this transaction. Please select another one or add a new payment method to the wallet widget.","Le mode de paiement sélectionné n'est pas disponible pour cette transaction. Veuillez en sélectionner un autre ou ajouter un nouveau mode de paiement au widget de portefeuille."
"No payment instrument has been selected for this order, please try to refresh the page or add a new payment instrument in the wallet widget.","Aucun instrument de paiement n'a été sélectionné pour cette commande, veuillez essayer de rafraîchir la page ou d'ajouter un nouvel instrument de paiement dans le widget de portefeuille."
"The order failed due to a technical error, please select another payment method or contact our support.","La commande a échoué en raison d'une erreur technique, veuillez sélectionner un autre mode de paiement ou contacter notre support."
