"Edit Shipping Address","Modifica Indirizzo di Spedizione"
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Sei un cliente Amazon? Paga ora utilizzando l'indirizzo e i dati di pagamento memorizzati nel tuo account Amazon."
"Simulate Payment Scenarios","Simula scenari di pagamento"
"Amazon could not process your request.","Il servizio Amazon Pay non ha potuto elaborare la tua richiesta. Riprova."
"Please select a payment method.","Seleziona un metodo di pagamento."
"Your session has expired, please reload the page and try again.","La sessione è scaduta. Ricarica la pagina e riprova."
"Return to standard checkout","Ritorna al tuo checkout originale"
"Amazon Pay was unable to authenticate the payment instrument.  Please try again, or use a different payment method.","Si è verificato un problema con il pagamento. L'ordine non è stato effettuato, pertanto non ti è stato addebitato alcun importo."
"The SCA challenge was not completed successfully.  Please try again, or use a different payment method.","Si è verificato un problema con il metodo di pagamento. Per effettuare l'ordine, prova con un altro metodo di pagamento."
"Your transaction with Amazon Pay is currently being validated. Please be aware that we will inform you shortly as needed.","La vostra transazione con Amazon Pay e in fase di validazione. Vi informeremo del risultato della transazione a breve."
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","Per resettare la tua password, per favore <a href=""%1"">Esci</a> dal tuo account e seleziona “Hai dimenticato la password?" dalla pagina di Accesso"
"The selected payment method is not available for this transaction. Please select another one or add a new payment method to the wallet widget.","Il metodo di pagamento selezionato non è disponibile per questa transazione. Per favore selezionarne o aggiungerne un altro nel wallet widget."
"No payment instrument has been selected for this order, please try to refresh the page or add a new payment instrument in the wallet widget.","Non è stato selezionato nessun metodo di pagamento per questo ordine. Per favore ricaricare la pagina o aggiungere un nuovo metodo di pagamento nel wallet widget."
"The order failed due to a technical error, please select another payment method or contact our support.","Non è stato possibile processare l’ordine a causa di un problema tecnico. Per favore selezionare un altro metodo di pagamento o contattare il supporto."
"Payment declined for your order #%incrementId","Pagamento declinato per il tuo ordine #%incrementId"
"Valued customer","Gentile cliente"
"Unfortunately Amazon Pay declined the payment for your order in our online shop %storeName, please try placing the order again with another payment method.","Siamo spiacenti di comunicarvi che Amazon Pay ha declinato il pagamento per il tuo ordine nel nostro negozio online %storeName, vi preghiamo di riprovare con un altro metodo di pagamento."
"Kind regards","Cordiali saluti"
"Alexa Delivery Notifications","Notifiche di consegna Alexa"
"Note: If you enable Alexa Delivery Notifications, Amazon Pay will send notifications to the customer’s Alexa device when the order is out for delivery and when it’s delivered. For more information, see <a href=""https://amazonpaylegacyintegrationguide.s3.amazonaws.com/docs/amazon-pay-onetime/delivery-notifications.html"" target=""_blank"">Setting up delivery notifications</a>, and <a href=""https://eps-eu-external-file-share.s3.eu-central-1.amazonaws.com/Alexa/Delivery+Notifications/amazon-pay-delivery-tracker-supported-carriers-v2.csv"" target=""_blank"">supported carriers</a>.","Nota: se abiliti le notifiche di consegna Alexa, Amazon Pay invierà notifiche al il dispositivo Alexa del cliente quando l'ordine è in consegna e quando è consegnato. Per maggiori informazioni, consulta <a href=""https://amazonpaylegacyintegrationguide.s3.amazonaws.com/docs/amazon-pay-onetime/delivery-notifications.html"" target=""_blank"">Configurazione delle notifiche di spedizione</a>, e <a href=""https://eps-eu-external-file-share.s3.eu-central-1.amazonaws.com/Alexa/Delivery+Notifications/amazon-pay-delivery-tracker-supported-carriers-v2.csv"" target=""_blank"">corrieri supportati</a>."
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Private Key","Chiave privata"
"Upload options","Opzioni di caricamento"
"Upload .pem file","File .pem di caricamento"
"Copy & Paste","copia e incolla"
"The Private Key you've entered isn't valid. Make sure it includes the Private Key's header and footer, then try again.","La chiave privata che hai inserito non è valida. Assicurati che includa l'intestazione e la parte finale della chiave privata, quindi riprova."
"The Public Key ID you've entered isn't valid. Make sure it holds 24 characters and try again.","Il Public Key ID che hai inserito non è valido. Assicurati che contenga 24 caratteri e riprova."
"Sometimes referred to as ""Client ID"" in Seller Central.","A volte è indicato come ""client ID"" su Seller Central."
"The Merchant ID you've entered isn't valid. Make sure it contains 13 to 14 characters, then try again.","L’ID venditore che hai inserito non è valido. Assicurati che contenga 13 o 14 caratteri, quindi riprova."
"-- Choose region --","-- Scegli l'area --"
"To enable instant payment notifications (IPN), go to Seller Central, click Settings > Integration Settings > Edit, and then paste the above URL in the Merchant URL field, and click Save.","Per abilitare le notifiche di pagamento istantanee, accedi a Seller Central, clicca su Impostazioni > Impostazioni di integrazione > Modifica, quindi incolla l'URL sopra riportato nel campo URL venditore e clicca Salva."
"Multi-currency Functionality","Funzione multivaluta"
"Amazon Sign-in","Accedi con Amazon"
"Note: If you've disabled both Amazon Sign-in and Magento Guest Checkout, your customers will only be able to use Amazon Pay after they signed in with a Magento account.","Nota: se hai disabilitato sia l'accesso Amazon sia il pagamento Magento come ospite, i tuoi clienti potranno utilizzare Amazon Pay solo dopo aver effettuato l'accesso con un account Magento."
"Immediate","Immediata"
"Automatic","Automatica"
"Shipping Restrictions","Restrizioni sulle spedizioni"
"Amazon Pay button on product page","Pulsante Amazon Pay sulla pagina prodotto"
"Amazon Pay in final checkout step","Amazon Pay nella fase finale del pagamento"
"Note: When enabled, Amazon Pay will appear in the list of available payment methods at the final checkout step.","Nota: Se abilitato, Amazon Pay verrà visualizzato nell'elenco dei metodi di pagamento disponibili nella fase finale del pagamento."
"Sort Order","Ordina per"
"Store Name","Nome negozio"
"Restrict Product Categories","Categorie di prodotti con restrizioni"
"Restrict Post Office Boxes","Limita le caselle postali"
"Note: When enabled, post office box addresses in US, CA, UK, FR, DE, ES, PT, IT, AU aren't accepted.","Nota: se abilitati, gli indirizzi delle caselle postali negli Stati Uniti, Canada, Regno Unito, Francia, Germania, Spagna, Portogallo, Italia, Australia non sono accettati."
"Restrict Packstations","Limita le Packstation"
"Note: Packstations are only available in Germany. When enabled, Packstation addresses aren't accepted.","Nota: le Packstation sono disponibili solo in Germania. Se abilitati, gli indirizzi delle Packstation non sono accettati."
"Checkout Result URL Path","Percorso URL risultato pagamento"
"<strong>Only change this value if required. Improper modifications can break the integration. After the order is complete, your  customer will be redirected to this URL. Don't enter a leading slash.","<strong>Modifica questo valore solo se necessario. Le modifiche improprie possono danneggiare l'integrazione. Una volta completato l'ordine, il cliente verrà reindirizzato a questo URL. Non inserire una barra iniziale."
"Enter IPs seperated by commas. Note: The Amazon Pay button will only be visible to clients with corresponding IP addresses.","Inserisci gli IP separati da virgole. Nota: il pulsante Amazon Pay sarà visibile solo ai clienti con indirizzi IP corrispondenti."
"Developer Logs","Registro degli sviluppatori"
"Alexa Log","Registro Alexa"
"IPN Log","Registro notifiche di pagamento istantanee"
"Client Log","Registro cliente"
"No logs available","Nessun registro disponibile"
"Something went wrong. Choose another payment method for checkout and try again.","Si è verificato un problema. Scegli un altro metodo di pagamento e riprova."
"Failed to complete the Amazon Pay checkout","Impossibile completare il pagamento con Amazon Pay"
"Charge declined for order #%1","Acquisizione rifiutata per l'ordine #%1"
"If you experience consistent errors during key transfer, click Amazon Pay for Magento 2 for detailed instructions.","Se riscontri errori costanti durante il trasferimento delle chiavi, clicca su Amazon Pay per Magento 2 per ottenere istruzioni dettagliate."
"Failed to enable Amazon Pay","Impossibile abilitare Amazon Pay"
"The refund through Amazon Pay was successful.","Il rimborso tramite Amazon Pay è andato a buon fine."
"Captured amount of %1.","Importo acquisito di %1."
"Authorized amount of %1.","Importo autorizzato di %1."
"Amazon Pay has received shipping information for carrier %1 with tracking number %2.","Amazon Pay ha ricevuto informazioni sulla spedizione per il corriere %1 con numero di tracciabilità %2."
"<div class=""amazon-pay-logo""></div><div class=""amazon-payment-byline""><strong>Amazon Pay for Magento</strong>Enable a familiar, fast checkout for hundreds of millions of active Amazon customers globally.</div>","<div class=""amazon-pay-logo""></div><div class=""amazon-payment-byline""><strong>Amazon Pay per Magento</strong>Offri un metodo di pagamento rapido e familiare a centinaia di milioni di clienti Amazon attivi in tutto il mondo.</div>"
"An unsupported currency is currently selected. Please review our configuration guide.","La valuta base impostata per il tuo negozio non è supportata. Per maggiori informazioni, consulta Amazon Pay for Magento 2"
"Reset configuration","Ripristina configurazione"
"Resetting the Amazon Pay configuration. After the page reloaded, click Start configuration/registration.","Ripristino della configurazione di Amazon Pay. Dopo aver ricaricato la pagina, clicca su Avvia configurazione/registrazione."
"<strong>Only change this value if required. Improper modifications can break the integration. After the order is complete, your customer will be redirected to this URL. Don't enter a leading slash.","<strong>Modifica questo valore solo se necessario. Le modifiche improprie possono danneggiare l'integrazione. Una volta completato l'ordine, il cliente verrà reindirizzato a questo URL. Non inserire una barra iniziale."
"Refund declined for order #%1","Rimborso rifiutato per l'ordine #%1"
"Note: Amazon Pay only supports multi-currency functionality for the payment regions United Kingdom and Euro region. Supported currencies: AUD, GBP, DKK, EUR, HKD, JPY, NZD, NOK, ZAR, SEK, CHF, USD.","Nota: se abilitati, gli indirizzi delle caselle postali negli Stati Uniti, Canada, Regno Unito, Francia, Germania, Spagna, Portogallo, Italia, Australia non sono accettati."
"Amazon Checkout cancel URL Path","Percorso URL di annullamento checkout Amazon Pay (solo UE/Regno Unito)"
"<strong>Amazon Pay Checkout could potentially break if this value is modified. Do it only if it is needed by your website.</strong><br />Amazon Pay will redirect to this URL if the customer clicks ""Cancel Amazon Pay checkout and return to [merchant site]"" from the Amazon-hosted page. Do not use a leading slash. Leave blank to return the customer to the last page visited before checkout (EU/UK regions only).","<strong>Le modifiche improprie possono danneggiare l'integrazione. Modifica questo valore solo se necessario.</strong><br />I tuoi clienti verranno indirizzati a questo URL quando cliccheranno su “Annulla il checkout di Amazon Pay e torna a [nome venditore]” durante il pagamento. Per impostazione predefinita, i clienti verranno reindirizzati alla pagina di pre-pagamento."
"Amazon Sign In cancel URL Path","Percorso URL di annullamento accesso ad Amazon (solo UE/Regno Unito)"
"<strong>Amazon Pay Sign In could potentially break if this value is modified. Do it only if it is needed by your website.</strong><br />Amazon Pay will redirect to this URL if the customer clicks ""Cancel"" from the Amazon-hosted page. Do not use a leading slash. Leave blank to return the customer to the last page visited before sign in (EU/UK regions only).","<strong>Le modifiche improprie possono danneggiare l'integrazione. Modifica questo valore solo se necessario.</strong><br />I tuoi clienti verranno reindirizzati a questo URL quando cliccheranno su “Annulla” nella pagina Accedi con Amazon. Non inserire una barra iniziale. Per impostazione predefinita, i clienti verranno reindirizzati alla pagina precedente."
