"Edit Shipping Address","Lieferadresse bearbeiten"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Eine kommagetrennte Liste mit Begriffen (ohne Unterscheidung zwischen Groß- und Kleinschreibung), anhand derer überprüft wird, ob es sich bei einer Kundenadresse um ein Schließfach oder eine Packstation handelt."
"Excluded Categories","Ausgeschlossene Kategorien"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","""Amazon Pay"" ist für Produkte der ausgewählten Kategorien nicht verfügbar."
"Developer Options","Entwickleroptionen"
"Logging","Protokollierung"
"Allowed IPs","Zulässige IP-Addressen"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Kommagetrennt. ""Login mit Amazon"" und ""Amazon Pay"" sind <em>nur<em/> für Kunden mit den oben aufgeführten IPs verfügbar.
                            Wenn das Feld leer ist, sind die Schaltflächen für alle Clients sichtbar."
"Module version","Modulversion"
"--","--"
"Amazon Pay button in minicart","Amazon Pay-Button im Mini-Warenkorb"
"The base currency set for your store isn't supported. For more information, see Amazon Pay for Magento 2.","Die für Ihren Shop festgelegte Basiswährung wird nicht unterstützt. Weitere Informationen finden Sie unter Amazon Pay für Magento2."
"You'll be connecting/registering a US account based on your display currency of your store scope. For more information, see Amazon Pay for Magento 2.","Sie verknüpfen/registrieren ein US-Konto basierend auf der Anzeigewährung Ihres Shops. Weitere Informationen finden Sie auf der Seite Amazon Pay für Magento2."
"Start account connection/registration","Kontoverknüpfung/Registrierung starten"
"My account is ready, I need to connect it to Magento","Ich habe bereits ein Amazon Pay Konto, I möchte es mit Magento verbinden."
"or","oder"
"I've already set up Amazon Pay with Magento and I want to edit my configuration.","Ich habe Amazon Pay bereits für Magento eingerichtet und möchte meine Konfiguration bearbeiten."
"Back to account connection/registration","Zurück zur Kontoverknüpfung/Registrierung"
"Updating your configuration with new keys...","Ihre Konfiguration wird mit neuen Schlüsseln aktualisiert..."
"For easy setup and automatic transfer of your keys and IDs from your Amazon Pay merchant account to Magento, turn on Use Secure URLs in Admin under General > Web > Base URLs (secure).",Für eine einfache Einrichtung und automatische Übertragung Ihrer Schlüssel und IDs von Ihrem Amazon Payments-Händlerkonto zu Magento aktivieren Sie die Option Sichere URLs in Admin verwenden unter Allgemein> Web> Basis-URLs (sicher) ."
"Paste JSON credentials here","JSON Zugangsdaten hier einfügen"
"Save Credentials","Zugansdaten übernehmen"
"Valid JSON credentials are required.","Gültige JSON Zugangsdaten werden benötigt."
"Action unavailable","Aktion ist nicht verfügbar"
"An error occurred while matching your Amazon account with your store account. ","Beim Abgleich Ihres Amazon-Kontos mit Ihrem Shop-Konto ist ein Fehler aufgetreten. "
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Für diese E-Mail-Adresse ist bereits ein Shopkonto vorhanden. Geben Sie das Passwort Ihres Shopkontos ein, um sich anzumelden, ohne den Shop zu verlassen."
"Login with Amazon","Melden Sie sich bei Amazon an"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Mit Amazon Pay und Anmelden mit Amazon können Sie sich auf einfache Weise anmelden und die Liefer- und Zahlungsdaten aus Ihrem Amazon-Kundenkonto verwenden, um auf dieser Website eine Bestellung aufzugeben."
"Securely login into our website using your existing Amazon details.","Verwenden Sie Ihre Amazon-Anmeldedaten, um sich sicher bei unserer Website anzumelden."
"Welcome back!","Willkommen zurück!"
"Continue as Guest","Als Gast fortfahren"
"the email address for your Amazon account is invalid","Die E-Mail-Adresse für Ihr Amazon-Kundenkonto ist nicht gültig."
"* Required Fields","* Pflichtfelder"
"Password","Passwort"
"Ok","OK"
"Forgot Your Password?","Passwort vergessen?"
"Login with Amazon available in authentication popup","Login mit Amazon im Anmelde-Popup anzeigen"
"You will be redirected shortly...","Sie werden in Kürze weitergeleitet..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Falls Sie nicht weitergeleitet werden, versuchen Sie bitte die Seite neu zu laden, oder gehen Sie zurück zum Warenkorb um ggf. eine andere Zahlungsmethode zu verwenden."
"Amazon authorize invalid state : %1 with reason %2","Unerwarteter Status für die Amazon Pay-Autorisierung. Status: %1; Ursachencode: %2"
"Amazon capture declined : %1","Capture wurde von Amazon Pay abgelehnt. Ursachencode: %1"
"Amazon capture invalid state : %1 with reason %2","Unerwarteter Status für Amazon Pay-Capture. Status: %1; Ursachencode: %2"
"Amazon refund invalid state : %1 with reason %2","Unerwarteter Status für die Amazon Pay-Erstattung. Status: %1; Ursachencode: %2"
"The store doesn't support the country that was entered. To review allowed countries, go to General > General > Allow Countries list. Enter a supported country and try again. ","Der Shop unterstützt das eingegebene Land nicht. Um die zulässigen Länder zu überprüfen, gehen Sie zu Allgemein Allgemein Liste der zugelassenen Länder. Geben Sie ein unterstütztes Land ein und versuchen Sie es erneut. "
"Unfortunately it is not possible to use Amazon Pay for this order, please choose another payment method.","Leider können Sie ""Amazon Pay"" für diese Bestellung nicht verwenden. Wählen Sie eine andere Zahlungsweise aus."
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","Leider ist bei der ausgewählten Zahlungsweise ein Problem in Ihrem Amazon-Kundenkonto aufgetreten. Wählen Sie eine andere Zahlungsweise aus."
"The currency selected is not supported by Amazon Pay","Die ausgewählte Währung wird von Amazon Pay auf dieser Website nicht unterstützt."
"Captured amount of %1 online","Online erfasster Betrag ist %1."
"Declined amount of %1 online","Online-Capture für Betrag %1 wurde abgelehnt."
"Capture declined","Capture abgelehnt"
"Capture declined for Order <a href=""%2"">#%1</a>","Capture abgelehnt für Bestellung <a href=""%2"">#%1</a>"
"Capture pending approval from the payment gateway","Genehmigung vom Zahlungsgateway für Capture ist ausstehend. Bitte überprüfen Sie es später erneut."
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","Die Konfiguration ""multiline_count"" für das Attribut ""street"" der Kundenadresse konnte nicht gefunden werden."
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Sind Sie Kunde bei Amazon? Verwenden Sie für die Bezahlung die Adresse und Zahlungsdetails, die in Ihrem Amazon-Kundenkonto gespeichert sind."
"Simulate Payment Scenarios","Zahlungsszenarien simulieren"
"Amazon could not process your request.","Amazon Pay konnte Ihre Anfrage nicht bearbeiten. Bitte versuchen Sie es noch einmal."
"Please select a payment method.","Wählen Sie eine Zahlungsweise aus."
"Your session has expired, please reload the page and try again.","Ihre Sitzung ist abgelaufen. Bitte laden Sie die Seite erneut und versuchen Sie es noch einmal."
"Return to standard checkout","Zum Standard Checkout zurückkehren"
"The SCA challenge was not completed successfully.  Please try again, or use a different payment method.","Mit dieser Zahlungsart ist ein Problem aufgetreten. Um Ihre Bestellung abzuschließen, wählen Sie bitte eine andere aus."
"Your transaction with Amazon Pay is currently being validated. Please be aware that we will inform you shortly as needed.","Ihre Zahlung mit Amazon Pay ist derzeit noch in Prufung. Bitte beachten Sie, dass wir uns mit Ihnen in Kurze per Email in Verbindung setzen werden, falls noch Unklarheiten bestehen sollten."
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","Fall Sie ihr Passwort zurücksetzen möchten, <a href=""%1"">loggen Sie sich bitte aus</a> und klicken Sie auf der Anmeldeseite auf “Passwort vergessen”"
"The selected payment method is not available for this transaction. Please select another one or add a new payment method to the wallet widget.","Die gewählte Zahlmethode ist für diese Transaktion nicht verfügbar. Bitte wählen Sie eine andere oder fügen Sie eine neue Zahlmethode hinzu."
"No payment instrument has been selected for this order, please try to refresh the page or add a new payment instrument in the wallet widget.","Für diese Bestellung wurde kein Zahlungsmittel ausgewählt, bitte versuchen Sie, die Seite zu aktualisieren oder ein neues Zahlungsmittel hinzuzufügen."
"The order failed due to a technical error, please select another payment method or contact our support.","Die Bestellung ist aufgrund eines technischen Fehlers fehlgeschlagen, bitte wählen Sie eine andere Zahlungsmethode oder kontaktieren Sie unseren Support."
"Payment declined for your order #%incrementId","Zahlung für Ihre Bestellung abgelehnt #%incrementId"
"Valued customer","Sehr geehrter Kunde"
"Unfortunately Amazon Pay declined the payment for your order in our online shop %storeName, please try placing the order again with another payment method.","leider hat Amazon Pay die Zahlung für Ihre Bestellung in unserem Online-Shop %storeName abgelehnt, bitte versuchen Sie die Bestellung mit einer anderen Zahlungsmethode erneut aufzugeben."
"Kind regards","Mit freundlichen Grüßen"
"Alexa Delivery Notifications","Alexa-Lieferbenachrichtigungen"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Private Key","Privater Schlüssel"
"Upload options","Upload-Optionen"
".pem file",".pem-Datei"
"copy & paste","Kopieren und Einfügen"
"The Private Key you've entered isn't valid. Make sure it includes the Private Key's header and footer, then try again.","Der von Ihnen eingegebene private Schlüssel ist nicht gültig. Vergewissern Sie sich, dass Sie auch die Kopf- und Fußzeile des privaten Schlüssels kopieren und dass er aus 24Zeichen besteht. Versuchen Sie es dann erneut."
"The Public Key ID you've entered isn't valid. Make sure it holds 24 characters and try again.","Die von Ihnen eingegebene Public Key ID ist nicht gültig. Stellen Sie sicher, dass sie aus 24 Zeichen besteht und versuchen Sie es erneut."
"Sometimes referred to as "Client ID" in Seller Central.","Wird in Seller Central manchmal als "Client-ID" bezeichnet."
"The Merchant ID you've entered isn't valid. Make sure it contains 13 to 14 characters, then try again.","Die eingegebene Händler-ID ist ungültig. Stellen Sie sicher, dass sie aus 13 bis 14 Zeichen besteht, und versuchen Sie es erneut."
"-- Choose region --","-- Region wählen --"
"To enable instant payment notifications (IPN), go to Seller Central, click Settings > Integration Settings > Edit, and  then paste the above URL in the Merchant URL field, and click Save.",""Um Zahlungsbenachrichtigungen (Instant Payment Notifications, IPN) zu aktivieren, gehen Sie zu Seller Central, klicken Sie auf Einstellungen  Integrationseinstellungen Bearbeiten und fügen Sie dann die obige URL in das Feld Händler-URL ein. Klicken Sie dann auf Speichern."                                                                                                                                                                                               ""
"Multi-currency Funtionality","Fremdwährungsfunktion"
"Amazon Sign-in","Anmelden mit Amazon"
"Note: If you've disabled both, Amazon Sign-in and Magento Guest Checkout, your customers will only be able to use Amazon Pay after they signed in with a Magento account.",""Hinweis: Wenn Sie beide, Amazon-Anmeldung und Magento Guest Checkout, deaktiviert haben, können Ihre Kunden Amazon Pay erst verwenden, nachdem sie sich mit einem Magento-Konto angemeldet haben.""
"Immediate","Sofort"
"Automatic","Automatisch"
"Shipping Restrictions","Versandbeschränkungen"
"Amazon Pay button on product page","Amazon Pay-Button auf Ihren Produktseiten"
"Amazon Pay in final checkout step","Amazon Pay im letzten Schritt des Bezahlvorgangs"
"Note: When enabled, Amazon Pay will appear in the list of available payment methods at the final checkout step.",""Hinweis: Wenn die Option aktiviert ist, erscheint Amazon Pay in der Liste der verfügbaren Zahlungsarten im letzten Schritt des Bezahlvorgangs.""
"Sort Order","Ordina per"
"Store Name","Shopname"
"Restricted Product Categories","Engeschränkte Produktkategorien"
"Restrict Post Office Boxes","Postfächer verbieten"
"Note: When enabled, post office box addresses in US, CA, UK, FR, DE, ES, PT, IT, AU aren't accepted.","Hinweis: Wenn diese Option aktiviert ist, werden Lieferungen an Postfachadressen in den USA, CA, UK, FR, DE, ES, PT, IT, AU nicht akzeptiert."
"Restrict Packstations","Packstationen verbieten"
"Note: Packstations are only available in Germany. When enabled, Packstation addresses aren't accepted.","Hinweis: Packstationen sind nur in Deutschland verfügbar. Wenn diese Option aktiviert ist, werden Lieferungen an Packstationen nicht unterstützt."
"Only change this value if required. Improper modifications can break the integration. After your customer chose their payment method and delivery address, they will be redirected to this URL. Don't enter a leading slash.","Ändern Sie diesen Wert nur bei Bedarf. Unsachgemäße Änderungen können zu einer fehlerhaften Integration führen. Nachdem Ihre Kunden ihre Zahlungsart und Lieferadresse ausgewählt haben, werden sie zu dieser URL weitergeleitet. Tragen Sie keinen vorangestellten Schrägstrich ein."
"Checkout Result URL Path","Percorso URL risultato pagamento"
"Only change this value if required. Improper modifications can break the integration. After the order is complete, you  customer will be redirected to this URL. Don't enter a leading slash.","Modifiez cette valeur uniquement si nécessaire. Des modifications incorrectes peuvent casser l'intégration. Une fois la commande passée, votre client est redirigé vers cette URL. N'entrez pas de barre oblique."
"Enter IPs seperated by commas. Note: The Amazon Pay button will only be visible to clients with corresponding IP  addresses.",""Geben Sie IP-Addessn durch Kommas getrennt ein. Hinweis: Der Amazon Pay-Button ist nur für Kunden mit entsprechenden IP-Adressen sichtbar."
"Developer Logs","Entwickler-Logs"
"Alexa Log","Alexa-Protokoll"
"IPN Log","IPN-Protokoll"
"Client Log","Client-Protokoll"
"No logs available","Keine Protokolle verfügbar"
"Something went wrong. Choose another payment method for checkout and try again.","Etwas ist schiefgelaufen. Wählen Sie eine andere Zahlungsart für den Bezahlvorgang und versuchen Sie es erneut."
"Failed to complete the Amazon Pay checkout","Amazon Pay-Bezahlvorgang konnte nicht abgeschlossen werden"
"Charge declined for order #%1","Capture wurde für Bestellung #%1 abgelehnt"
"If you experience consistent errors during key transfer, click Amazon Pay for Magento 2 for detailed instructions.","Solltenbei der Übertragung der Schlüssel Fehler auftreten, klicken Sie auf Amazon Pay für Magento 2, um eine detaillierte Anleitung zu erhalten."
"Failed to enable Amazon Pay","Amazon Pay konnte nicht aktiviert werden:"
"The refund through Amazon Pay was successful.","Die Rückerstattung über Amazon Pay war erfolgreich."
"Captured amount of %1.","Eingezogener Betrag ist %1."
"Authorized amount of %1.","Autorisierter Betrag ist %1."
"Amazon Pay has received shipping information for carrier %1 with tracking number %2.","Amazon Pay hat Versandinformationen für Transportdienstleister %1 mit der Sendungsverfolgungsnummer %2 erhalten."
"Yes","Activé",
"No","Désactivé"
"Amazon Pay for Magento","Amazon Pay für Magento"
"Enable a familiar, fast checkout for hundreds of millions of active Amazon customers globally.","Ermöglichen Sie einen vertrauten, schnellen Bezahlvorgang für Hunderte Millionen von Amazon Kunden weltweit"
"An unsupported currency is currently selected. Please review our configuration guide.","La valuta base impostata per il tuo negozio non è supportata. Per maggiori informazioni, consulta Amazon Pay for Magento 2"
"Reset configuration","Konfiguration zurücksetzen"
"Resetting the Amazon Pay configuration. After the page reloaded, click Start configuration/registration.","Die Amazon Pay-Konfiguration wird zurückgesetzt. Nachdem die Seite neu geladen wurde, klicken Sie auf Konfiguration/Registrierung starten."
"Only change this value if required. Improper modifications can break the integration. After the order is complete, you customer will be redirected to this URL. Don't enter a leading slash.","Ändern Sie diesen Wert nur bei Bedarf. Unsachgemäße Änderungen können zu einer fehlerhaften Integration führen. Nachdem die Bestellung abgeschlossen ist, werden Ihre Kunden zu dieser URL weitergeleitet. Tragen Sie keinen vorangestellten Schrägstrich ein."
"Refund declined for order #%1","Erstattung für Bestellung #%1 wurde abgelehnt"
